Artikel;Netto;Name DE;Name EN;Name ES;id
02-1000030;10,50;Luftschlauch PENTAFLEX grau Staubsauger-;Air hose PENTAFLEX grey vacuum cleaner cyclone �38mm;Manguera de aire PENTAFLEX gris aspirador-cicl�n �38mm;351788
02-1000031;60,70;Hochtemperaturschlauch �83mm;High temperature hose �83mm;Manguera para alta temperatura �83mm;351789
02-1000032;73,60;Hochtemperaturschlauch �83mm / L=1.100m;High temperature hose �83mm / l=1.1m;Manguera de alta temperatura �83mm / L=1.100mm;351790
02-1000033;283,00;Edelstahl-Wellschlauch DN40 L=2.500mm;Stainless steel corrugated hose DN40, l=2,500mm;Manguera ondulada de acero fino DN40 L=2.500mm;351791
02-1000035;3,20;PE-Schaumband 3x9mm;PE foam band 3x9mm;PE-cinta de espuma 3x9mm;351792
02-1000036;3,40;PE-Schaumband 3x20mm;PE foam band 3x20mm;PE-cinta de espuma 3x20mm;351793
02-1000037;3,40;PE-Schaumband 5x9mm 1-seitig selbstkleb;PE foam band 5x9mm one-side self-adhesive;PE-Cinta de espuma 5x9mm 1-cara autoadhesiva, gris;351794
02-1000038;4,80;PE-Schaumband 5x20mm 1-seitig selbstkleb;PE foam band 5x20mm one-side self-adhesive;PE-Cinta de espuma 5x20mm 1-cara autoadhesiva, gris;351795
02-1000039;5,00;PE-Schaumband 6x30mm;PE foam band 6x25mm x 5m for FE USV 2005;PE-Cinta de espuma 6x30mm 1-cara autoadhesiva, gris;351796
02-1000041;4,80;PE-Schaumband 6x25mm x 5m f�r RA USV 200;PE foam band 6x25mm x 5m for FE USV 2005;PE-Cinta de espuma 6x25mm x 5m para RA USV 2005;351797
02-1000042;5,90;Zellkautschukband 15x8mm 5m f�r RA USV;Closed-cell sponge rubber tape 15x8mm 5m FE USV;Cinta de caucho celular 15x8mm 5m para RA USV 2005;351798
02-1000044;4,80;Keramikband wei� 2x9mm;Ceramic band white 2x9mm;Cinta cer�mica blanca 2x9mm alta temperatura;351799
02-1000045;5,50;Keramikband wei� 6x15mm;Ceramic band white 6x15mm;Cinta cer�mica blanca 6x15mm;351800
02-1000047;4,30;Keramikfaserpackung �4mm;Ceramic fibre packing �4mm;Empaquetadura de fibra cer�mica �4mm;351801
02-1000048;5,00;Keramikfaserpackung �6mm;Ceramic fibre packing �6mm;Empaquetadura de fibra cer�mica �6mm;351802
02-1000049;4,20;Glasfaserpackung 10x10mm geflochten;Fibre glass packing 10x10mm;Embalaje 10x10mm trenzadas de fibra de vidrio ;351803
02-1000051;10,10;Isokeramikpackung 12x12mm geflochten mit;Ceramic fibre packing 12x12mm;Junta cer�mica 12x12mm cruzado con hilo trenzado;351804
02-1000053;7,30;Glasfaserpackung 12x12mm Brenner USP   l = 915mm;Fibre glass packing 12x12mm burner USP l=915mm;Junta de fibra de vidrio 12x12mm quemador USP�� l = 915mm;351805
02-1000054;1,80;Keramikfaserpackung 12x12mm, l=140mm, Z�ndung HG;Ceramic fibre packing 12x12mm, l=140mm, igniter HG;Junta cer�mica 12x12mm l=140 mm encendido HG;351806
02-1000056;4,60;Keramikfaserpackung 12x12mm, l=450mm;Ceramic fibre packing 12x12mm, l=450mm;Junta cer�mica 12x12mm l=450 mm Sinf�n de ceniza� HG;351807
02-1000059;14,00;Keramikfaserpackung 14x14mm;Ceramic fibre packing 14x14mm;Junta cer�mica 14x14 mm;351808
02-1000062;16,00;Keramikfaserpackung 15x15mm;Ceramic fibre packing 15x15mm;Junta cer�mica 15x15mm;351809
02-1000063;9,10;Glasfaserpackung 16x16mm;Glass fibre packing 16x16mm;Junta de fibra de vidrio 16x16mm;351810
02-1000064;14,00;Keramikfaserpackung 20x20mm;Ceramic fibre packing 20x20mm;Embalaje de fibra cer�mica 20x20mm;351811
02-1000069;30,40;Keramikfaserpackung 30x30mm;Ceramic fibre packing 30x30mm;Empaquetadura de fibra cer�mica 30x30mm;351812
02-1000071;15,80;Dichtungsprofil schwarz Zyklon Saugsyste;Sealing profile black cyclone suction system;Empaquetadura perfilada negra cicl�n sistema de succi�n;351813
02-1000072;6,50;Dichtungsprofil schwarz USP Verkleidung;Sealing profile black USP casing;Empaquetadura perfilada negro USP revestimiento NUEVO;351814
02-1000073;18,00;Dichtungsprofil schwarz �bergabestation;Sealing profile black transfer point;Junta perfilada negra estaci�n de transferencia;351815
02-1000074;3,20;Dichtungsprofil Mossgummi AD8mm mit Schl;Sealing profile foam rubber AD8mm with slot, black;Junta perfilada de caucho celular AD8mm con ranura, negra;351816
02-1000075;11,00;Kantenschutzprofil;Edge protection profile;Perfil de protecci�n de cantos;351817
02-1000076;8,40;Kantenschutzprofil;Edge protection profile;Perfil de protecci�n de cantos;351818
02-1000077;13,40;Moosgummiprofil Nr. 635 Deckeldichtung B;Foam rubber profile No. 635 cover seal USVV;Pefil de caucho celular Nr. 635 junta de cubierta contendor USV;351819
02-1000080;27,30;Steinwolle W�rmed�mmplatte;Mineral wool heat insulation plate;Placa termoaislante de lana mineral;356835
02-1000097;4,60;Isolierband  10m;Duct tape 10m;Cinta aislante;351824
02-1000098;3,40;Teflonband 10m;teflon tape 10m                                                ;Cinta de tefl�n 10m;351825
02-1000099;24,80;Aluklebeband b=50mm;Adhesive aluminium tape b=50mm;Cinta adhesiva de aluminio b=50mm;351826
02-1000109;9,30;Silikondichtung vorm. f�r Klappe BSK;Silicone seal pre-assembled for fire shutter, USV;Puerta de la junta de silicona para BSK Ex, UPS;351827
02-1010004;217,70;Hochtemperaturschlauch �102mm;High temperature hose �102mm;Manguera de alta temperatura �102mm;351828
02-1010007;11,40;Dichtung;;;356819
02-1010009;16,60;Dichtung;Seal;Junta;356557
02-1010011;6,80;Dichtung;Seal;Junta;356275
02-1010016;8,40;Dichtung 60-120kW;Seal 60-120kW;Junta 60-120kW;355458
02-1010019;22,00;Schlauch PUR ID�80mm schwer entflammbar;Hose PUR ID�80mm flame retardant;;356165
02-1010020;30,00;Schlauch PUR ID�100mm schwer entflammbar;Hose PUR ID�100mm flame retardant;;356260
02-1010023;34,10;Schlauch PUR ID�76mm schwer entflammbar;Hose PUR ID�76mm flame retardant;;356276
02-1010024;45,00;Hochtemperaturschlauch �63mm;;;356830
02-1010025;8,60;Isolierschlauch �80;;;356635
02-2000001;496,90;Edelstahl-Wellschlauch DN50, L=2.500mm;Stainless steel corrugated hose DN50, L=2,500mm                ;Manguera ondulada de acero inoxidable DN50, L=2.500mm;351829
02-2000003;9,30;Silikon U-Dichtprofil;Silicon U-profile seal                                         ;Perfil de obturaci�n en U de silicona;351830
02-2000004;6,30;Schlauch PVC �19x�26mm Wasserkanister l=1500mm;Hose PVC �19x�26mm water canister l=1500mm                     ;Manguera de PVC �19x�26mm recipiente de agua l=1500mm;351831
02-2000005;11,10;Kombinationsdichtprofil 6003 PVC schwarz;Combined sealing profile 6003 PVC black                        ;Perfil de obturaci�n combinado 6003 PVC negro;351832
02-2000006;255,70;Spiralsaugschlauch �51mm mit Kupferlitze 25mH122 051 0250 DE OA;Spiral suction hose �51mm with copper braid;Manguera espiral �51mm con flexible de cobre;351833
02-2000012;3,20;Keramikband wei� 3x10mm;Ceramic band white 3x10mm;;351835
02-2000021;413,30;Spiralsaugschlauch �51mm mit Kupferlitze, 25m (Longlife H 120);;;356593
02-2000022;50,70;Keramikfaserpapier, s=2mm Zuschnitt;;;357053
02-2000023;75,30;Keramikfasermatte, s=25,4mm Zuschnitt;;;357087
03-1000002;2,00;Sechskantschraube M4x25 vz;Hexagon head screw M4x25 galvanised;Tornillo de cabeza hexagonal M4x25 vz;351836
03-1000004;2,00;Sechskantschraube M4x40vz;Hexagon head screw M4x40 galvanised;Tornillo hexagonal M4x40 galv.;351837
03-1000005;2,00;Sechskantschraube M4x50 vz;Hexagon head screw M4x50 galvanised;Tornillo hexagonal M4x50 galv.;351838
03-1000007;2,00;Sechskantschraube M5x12 vz;Hexagon head screw M5x12 galvanised;Tornillo hexagonal M5x12 galv.;351839
03-1000008;2,00;Sechskantschraube M5x16 vz;Hexagon head screw M5x16 galvanised;Tornillo de cabeza hexagonal M5x16 vz;351840
03-1000009;2,00;Sechskantschraube M5x20 vz;Hexagon head screw M5x20 galvanised;Tornillo hexagonal M5x20 galv.;356448
03-1000010;2,00;Sechskantschraube M5x40 vz;Hexagon head screw M5x40 galvanised;Tornillo de cabeza hexagonal M5x40 vz;351841
03-1000013;2,00;Sechskantschraube M6x10vz;Hexagon head screw M6x10 galvanised;Tornillo hexagonal M6x10 galv.;351842
03-1000014;2,00;Sechskantschraube M6x12 vz;Hexagon head screw M6x12 galvanised;Tornillo hexagonal M6x12 galv.;351843
03-1000015;2,00;Sechskantschraube M6x16vz;Hexagon head screw M6x16 galvanised;Tornillo de cabeza hexagonal M6x16 vz;351844
03-1000017;2,00;Sechskantschraube M6x20vz;Hexagon head screw M6x20 galvanised;Tornillo de cabeza hexagonal M6x20 vz;351845
03-1000018;2,00;Sechskantschraube M6x25 vz;Hexagon head screw M6x25 galvanised;Tornillo hexagonal M6x25 galv.;351846
03-1000019;2,00;Sechskantschraube M6x30vz;Hexagon head screw M6x30 galvanised;Tornillo de cabeza hexagonal M6x30 vz;351847
03-1000021;2,00;Sechskantschraube M6x35vz;Hexagon head screw M6x35 galvanised;Tornillo de cabeza hexagonal M6x35 vz;351848
03-1000023;2,00;Sechskantschraube M6x40 vz;Hexagon head screw M6x40 galvanised;Tornillo de cabeza hexagonal M6x40 vz;351849
03-1000024;2,00;Sechskantschraube M6x50 vz;Hexagon head screw M6x50 galvanised;Tornillo de cabeza hexagonal M6x50 vz;351850
03-1000026;2,00;Sechskantschraube M6x80 vz;Hexagon head screw M6x80 galvanised;Tornillo hexagonal M6x80 galv.;355570
03-1000027;2,00;Sechskantschraube M8x12 vz;Hexagon head screw M8x12 galvanised;Tornillo hexagonal M8x12 galv.;355599
03-1000029;2,00;Sechskantschraube M8x16 vz;Hexagon head screw M8x16 galvanised;Tornillo de cabeza hexagonal M8x16 vz;351851
03-1000032;2,00;Sechskantschraube M8x20 vz;Hexagon head screw M8x20 galvanised;Tornillo de cabeza hexagonal M8x20 vz;351852
03-1000033;2,30;Sechskantschraube M8x20;Hexagon head screw M8x20;Tornillo hexagonal M8x20;351853
03-1000034;2,00;Sechskantschraube M8x25 vz;Hexagon head screw M8x25 galvanised;Tornillo de cabeza hexagonal M8x25 vz;351854
03-1000036;2,00;Sechskantschraube M8x30 vz;Hexagon head screw M8x30 galvanised;Tornillo de cabeza hexagonal M8x30 vz;351855
03-1000038;2,00;Sechskantschraube M8x35 vz;Hexagon head screw M8x35 galvanised;Tornillo de cabeza hexagonal M8x35 vz;351856
03-1000039;2,00;Sechskantschraube M8x40 vz;Hexagon head screw M8x40 galvanised;Tornillo hexagonal M8x40 galv.;351857
03-1000040;2,00;Sechskantschraube M8x45 vz;Hexagon head screw M8x45 galvanised;Tornillo de cabeza hexagonal M8x45 vz;351858
03-1000042;2,00;Sechskantschraube M8x50 vz;Hexagon head screw M8x50 galvanised;Tornillo hexagonal M8x50 galv.;351859
03-1000045;2,00;Sechskantschraube M8x55 vz;Hexagon head screw M8x55 galvanised;Tornillo hexagonal M8x55 galv.;351860
03-1000046;2,00;Sechskantschraube M8x60 vz;Hexagon head screw M8x60 galvanised;Tornillo hexagonal M8x60 galv.;351861
03-1000052;2,00;Sechskantschraube M10x20 vz;Hexagon head screw M10x20 galvanised;Tornillo de cabeza hexagonal M10x20 vz;351862
03-1000054;2,00;Sechskantschraube M10x25 vz;Hexagon head screw M10x25 galvanised;Tornillo de cabeza hexagonal M10x25 vz;351863
03-1000056;2,00;Sechskantschraube M10x30 vz;Hexagon head screw M10x30 galvanised;Tornillo de cabeza hexagonal M10x30 vz;351864
03-1000058;2,00;Sechskantschraube M10x35 vz;Hexagon head screw M10x35 galvanised;Tornillo de cabeza hexagonal M10x35 vz;351865
03-1000059;2,00;Sechskantschraube M10x40 vz;Hexagon head screw M10x40 galvanised;Tornillo de cabeza hexagonal M10x40 vz;351866
03-1000062;4,60;Sechskantschraube M10x45 vz;Hexagon head screw M10x45 galvanised;Tornillo hexagonal M10x45 galv.;351867
03-1000063;2,00;Sechskantschraube M10x50 vz;Hexagon head screw M10x50 galv.;Tornillo hexagonal M10x50 galv.;351868
03-1000068;2,30;Sechskantschraube M10x70 vz;Hexagon head screw M10x70 galvanised;Tornillo hexagonal M10x70 galv.;351870
03-1000069;2,10;Sechskantschraube M10x80 vz;Hexagon head screw M10x80 galvanised;Tornillo hexagonal M10x80 galv.;351871
03-1000071;2,70;Sechskantschraube M10x85 vz;Hexagon head screw M10x85 galvanised;Tornillo de cabeza hexagonal M10x85 vz;351872
03-1000072;2,60;Sechskantschraube M10x110 vz;Hexagon head screw M10x110 galvanised;Tornillo hexagonal M10x110 galv.;355597
03-1000073;4,40;Sechskantschraube M12x110 vz;Hexagon head screw M12x110 galvanised;Tornillo de cabeza hexagonal M12x110 vz;351873
03-1000077;2,00;Sechskantschraube M12x25 vz;Hexagon head screw M12x25 galvanised;Tornillo hexagonal M12x25 galv.;356358
03-1000080;3,80;Sechskantschraube M12x30 vz;Hexagon head screw M12x30 galvanised;Tornillo hexagonal M12x30 galv.;351874
03-1000085;2,50;Sechskantschraube M12x55 vz;Hexagon head screw M12x55 galvanised;Tornillo hexagonal M12x55 galv.;351875
03-1000086;2,30;Sechskantschraube M12x60 vz;Hexagon head screw M12x60 galvanised;Tornillo hexagonal M12x60 galv.;351876
03-1000089;2,60;Sechskantschraube M14x30 vz;Hexagon head screw M14x30 galvanised;Tornillo hexagonal M14x30 galv.;355571
03-1000091;7,30;Sechskantschraube M16x100 vz;Hexagon head screw M16x100 galvanised;Tornillo de cabeza hexagonal M16x100 vz;351877
03-1000092;6,30;Sechskantschraube M16x130 vz;Hexagon head screw M16x130 galvanised;Tornillo hexagonal M16x130 galv.;351878
03-1000093;5,30;Sechskantschraube M16x65 vz;Hexagon head screw M16x65 galvanised;Tornillo de cabeza hexagonal M16x65 vz;351879
03-1000095;2,10;Sechskantschraube M20x90 vz;;;356601
03-1000098;2,00;Zylinderschraube M4x20 vz;Cylindrical screw M4x20 galvanised;Tornillo cil�ndrico M4x20 galv.;351880
03-1000100;2,00;Zylinderschraube M5x12 vz;Cylindrical screw M5x12 galvanised;Tornillo de cabeza cil�ndrica M5x12 vz;351881
03-1000101;2,00;Zylinderschraube M6x16 vz;Cylindrical screw M6x16 galvanised;Tornillo de cabeza cil�ndrica M6x16 vz;351882
03-1000102;2,00;Zylinderschraube M6x12 vz;Cylindrical screw M6x12 galvanised;Tornillo de cabeza cil�ndrica M6x12 vz;351883
03-1000105;2,60;Zylinderschraube M8x100 vz;Cylindrical screw M8x100 galvinised                            ;;356521
03-1000107;2,00;Zylinderschraube M8x20 vz;Cylindrical screw M8x20 galvanised;Tornillo cil�ndrico M8x20 galv.;351884
03-1000108;2,00;Zylinderschraube M8x25 vz;Cylindrical screw M8x25 galvanised;Tornillo cil�ndrico M8x25 galv.;351885
03-1000109;2,00;Zylinderschraube M8x30 vz;Cylindrical screw M8x30 galvanised;Tornillo cil�ndrico M8x30 galv.;351886
03-1000110;2,00;Zylinderschraube M8x40 vz;Cylindrical screw M8x40 galvanised;Tornillo de cabeza cil�ndrica M8x40 vz;351887
03-1000112;2,00;Zylinderschraube M8x80 vz;Cylindrical screw M8x80 galvanised;Tornillo cil�ndrico M8x80 galv.;351888
03-1000113;2,30;Zylinderschraube M8x90 vz;Cylindrical screw M8x90 galvanised;Tornillo de cabeza cil�ndrica M8x90 vz;351889
03-1000115;4,60;Zylinderschraube M10x70 vz;;;357093
03-1000116;4,60;Zylinderschraube M10x80;Cylindrical screw M10x80;Tornillo cil�ndrico M10x80;351890
03-1000119;2,00;Senkschraube M4x12 vz;Countersunk screw M4x12 galvanised;Tornillo de cabeza avellanada M4x12 vz ;351891
03-1000122;2,00;Senkschraube M4x10 vz;Countersunk screw M4x10 galvanised;Tornillo de cabeza avellanada M4x10 vz ;351892
03-1000127;2,00;Senkschraube M5x10 vz;;;356592
03-1000128;2,00;Senkschraube M5x16 vz;Countersunk screw M5x16 galvanised;Tornillo avellanado M5x16 galv.;351893
03-1000131;2,00;Senkschraube M6x12 vz;Countersunk screw M6x12 galvanised;Tornillo hexagonal M6x12 galv.;351894
03-1000132;2,00;Senkschraube M6x16 vz;Countersunk screw M6x16 galvanised;Tornillo de cabeza avellanada M6x16 vz ;351895
03-1000133;2,00;Senkschraube M6x20 vz;Countersunk screw M6x20 galvanised;Tornillo avellanado M6x20 galv.;351896
03-1000134;2,00;Senkschraube M6x20 Niro;Countersunk screw M6x20 stainless;Tornillo de cabeza avellanada M6x20 vz Niro;351897
03-1000136;2,00;Senkschraube M8x20 vz;Countersunk screw M8x20 stainless;Tornillo de cabeza avellanada M8x20 vz;351898
03-1000139;2,00;Senkschraube M8x30 vz;Countersunk screw M8x30 stainless;Tornillo avellanado M8x30 galv.;351899
03-1000146;2,00;Bohrschraube �4,2x13 vz;Self-drilling screw �4.2x13 galvanised;Tornillo autorroscante 4,2x13 vz;351900
03-1000147;2,00;Bohrschraube �5,5x19 vz;Self-drilling screw �5.5x19 galvanised;Tornillo autorroscante 5,5x19 vz;351901
03-1000149;2,00;Linsen-Bohrschraube 3,5x13 vz;Oval self-drilling screw 3.5x13 galvanised;Tornillos de 3,5 x13 lente vz;351902
03-1000152;2,00;Bohrschraube �5,5x16 vz;Self-drilling screw �5.5x16 galvanised;Tornillo autorroscante 5,5x16 vz;351903
03-1000155;2,00;Bohrschraube �5,5x25 vz;Self-drilling screw �5.5x25 galvanised;Tornillo perforador �5,5x25 galv.;351904
03-1000156;2,00;Linsen-Bohrschraube 4.2x32mm;Oval self-drilling screw 4.2x32mm;Tornillo autorroscante alomado 4.2x32mm;351905
03-1000160;2,00;Senkbohrschraube 2,9x13mm;Countersunk self-drilling screw 2.9x13mm;Tornillo avellanado autorroscante 2,9x13mm;351907
03-1000161;2,00;Bohrschraube �4,2x19 vz;Self-drilling screw �4.2x19 galvanised;Tornillo perforador �4,2x19 galv.;351908
03-1000166;2,00;Blechschraube �2,9x6,5 vz;Self-tapping screw �2.9x6.5 galvanised;Tornillo de chapa 2,9x6,5 vz;351909
03-1000170;2,00;Blechschraube �4,2x19;Self-tapping screw �4.2x19;Tornillo roscachapa �4,2x19;351910
03-1000172;2,00;Blechschraube �2,9x25 vz;Self-tapping screw �2.9x25 galvanised;Tornillo roscachapa �2,9x25 galv.;351911
03-1000173;2,00;Senk-Blechschraube 3,5x9,5 vz Senkkopf;Countersunk self-tapping screw 3.5x9.5 galv. countersunk head;Tornillo roscachapa avellanado 3,5x9,5 galv.;351912
03-1000174;2,00;Senk-Blechschraube 3,5x13vz Senkkopf;Countersunk self-tapping screw 3.5x13 galv. countersunk head;Tornillo roscachapa avellanado 3,5x13 galv.;351913
03-1000175;2,00;Senk-Blechschraube 2,9x16 vz Senkkopf;Countersunk self-tapping screw 2.9x16 galv. countersunk head   ;Tornillo roscachapa avellanado 2,9x16 galv.;351914
03-1000176;2,00;Linsenschraube M2,5 x 5 A2 f�r Z�ndrohr;Pan head screw M2.5x5 A2 for ignition pipe;Tornillo alomado M2,5 x 5 A2 para tubo de encendido USP;351915
03-1000179;2,00;Linsenschraube M4x8 vz;Pan head screw M4x8 galvanised;Tornillo alomado M4x8 galv.;351916
03-1000180;2,00;Linsenschraube M5x16 vz;Pan head screw M5x16 galvanised;Tornillo alomado M5x16 vz;351917
03-1000184;2,00;Linsenschraube M4x12 vz;Pan head screw M4x12 galvanised;Tornillo alomado M4x12 vz;351918
03-1000185;2,00;Linsenschraube M4x6 vz;Pan head screw M4x6 galvanised;Tornillo alomado M4x6 vz;351919
03-1000187;2,00;Linsenschraube M4x50 vz;Oval head screw M4x5 galv.;Tornillo alomado M4x50 galv.;351920
03-1000188;2,00;Linsenschraube M4x30 vz;Pan head screw M4x30 galvanised;Tornillo alomado M4x30 vz;351921
03-1000189;2,00;Linsenschraube M5x30 vz;Pan head screw M5x30 galvinised                                ;;356820
03-1000191;2,00;Gewindefurchende Schraube M4x12;Self-tapping screw M4x12;Tornillo con tanura de rosca;351922
03-1000195;2,00;Gewindefurchende Schraube M5x16;Self-tapping screw M5x16;Tornillo autorroscante M5x16;351923
03-1000200;2,00;Spanplattenschraube TX20 4x40 gelb vz.;Chipboard screw TX20 4x40 yellow galvanised;Tornillo para tablero de viruta TX20 4x40 galv. amarillo;351924
03-1000204;2,00;Spannplattenschraube TX25 5x60 gelb vz;Chipboard screw TX25 5x60 yellow galvanised;Tornillo con placa de sujecci�n 5x60 vz;351925
03-1000205;2,00;Spanplattenschraube 6x30 gelb vz;Chipboard screw 6x30 yellow;Tornillo para tablero de viruta 6x30 amarillo;356082
03-1000209;2,00;Spanplattenschraube 4x30 gelb verzinkt;Chipboard screw 4x30 yellow                                    ;Tornillo para tablero de viruta 4x30 amarillo;356799
03-1000212;2,00;Spanplattenschraube 6x40 gelb vz;Chipboard screw 6x40 yellow galvanised;Tornillo para tablero de viruta 6x40 galv. amarillo;351926
03-1000216;2,00;Sechskantmutter M4 vz;Hexagonal nut M4 galvanised;Tuerca de cabeza hexagonal M4 vz;351927
03-1000217;2,00;Sicherungsmutter M4 vz., niedrige Form;Self-locking nut M4 galv., low profile                         ;Tuerca de seguridad M4 galv., baja;351928
03-1000219;2,00;Sechskantmutter M4 vz;Hexagonal nut M4 galvanised;Tuerca de cabeza hexagonal M4 vz;351929
03-1000223;2,00;Sechskantmutter M5 vz;Hexagonal nut M5 galvanised;Tuerca de cabeza hexagonal M5 vz;351930
03-1000224;2,00;Sicherungsmutter M5 vz., niedrige Form;Self-locking nut M5 galv., low profile;Tuerca de cabeza hexagonal M5 vz;351931
03-1000225;2,00;Fl�gelmutter M5 vz;Wing nut M5 galvanised;Tuerca de aletas M5 galv.;351932
03-1000228;2,00;Sechskantmutter M6 vz;Hexagonal nut M6 galvanised;Tuerca de cabeza hexagonal M6 vz;351933
03-1000229;2,00;Sicherungsmutter M6 vz., niedrige Form;Self-locking nut M6 galv., low profile;Tuerca de cabeza hexagonal M6 vz;351934
03-1000230;3,40;Fl�gelmutter M6 vz;Wing nut M6 galvanised;Tuerca de mariposa M6 vz;351935
03-1000232;2,00;Sechskantmutter M6 vz;Hexagonal nut M6 galvanised;Tuerca hexagonal M6 galv.;351936
03-1000234;2,00;Sechskantmutter M6 A2;Hexagonal nut M6 A2                                            ;Tuerca hexagonal M6 A2;351937
03-1000236;2,00;Sechskantmutter M8 vz;Hexagonal nut M8 galvanised;Tuerca de cabeza hexagonal M8 vz;351938
03-1000237;2,00;Sicherungsmutter M8 vz., niedrige Form;Self-locking nut M8 galv., low profile;Tuerca de cabeza hexagonal M8 vz;351939
03-1000238;2,00;Sechskantmutter M8 vz;Hexagonal nut M8 galvanised;Tuerca de cabeza hexagonal M8 vz;351940
03-1000239;8,80;Fl�gelmutter M8 vz;Wing nut M8 galvanised;Tuerca de mariposa M8 vz;351941
03-1000241;2,00;Sechskantmutter mit Flansch M8;Hexagonal nut with flange M8                                   ;Tuerca hexagonal abridada M8;351942
03-1000243;2,00;Sechskantmutter M8 vz;Hexagonal nut M8 galvanised;Tuerca hexagonal M8 galv.;351943
03-1000251;2,00;Sechskanthutmutter M8 vz;Hexagonal nut M8 galvanised;Tuerca de sombrerete hexagonal M8 galv.;351944
03-1000253;4,20;Blindnietmutter M8 Stahl  vz Sechskant;Blind rivet nut M8 steel galvanised hexagonal;Tuerca de remache ciego M8 acero galv. hexagonal;351945
03-1000254;2,00;Sechskantmutter M10 vz;Hexagonal nut M10 galvanised;Tuerca de cabeza hexagonal M10 vz;351946
03-1000255;2,00;Sicherungsmutter M10 vz., niedrige Form;Self-locking nut M10 galv., low profile;Tuerca de cabeza hexagonal M10 vz;351947
03-1000263;2,00;Sechskantmutter M12 vz;Hexagonal nut M12 galvanised;Tuerca de cabeza hexagonal M12 vz;351948
03-1000264;2,00;Sicherungsmutter M12 vz., niedrige Form;Self-locking nut M12 galv., low profile;Tuerca de cabeza hexagonal M12 vz;351949
03-1000269;2,00;Sechskantmutter M12 vz;Hexagonal nut M12 galvanised;Tuerca hexagonal M12 galv.;351950
03-1000270;2,00;Sechskantmutter m. Flansch M12;Hexagon nut with flange M12;Tuerca hexagonal abridada M12;355854
03-1000272;2,00;Sicherungsmutter M14 vz., niedrige Form;Self-locking nut M14 galv., low profile;Tuerca de seguridad M14 galv., baja;356511
03-1000273;2,00;Sechskantmutter M16 vz;Hexagonal nut M16 galvanised;Tuerca hexagonal M16 galv.;351951
03-1000280;2,00;Scheibe M4 vz;Disc M4 galvanised;Arandela M4 vz;351952
03-1000281;2,00;Scheibe M4x1 vz;Disc M4x1 galvanised;Arandela M4 vz;351953
03-1000282;2,00;Federring M4 vz;Lock washer M4 galvanised;Arandela el�stica M4 galv.;351954
03-1000284;2,00;Scheibe M5 vz;Disc M5 galvanised;Arandela M5 galv.;351955
03-1000285;2,00;Scheibe M5x1,2 vz;Disc M5x1.2 galvanised;Arandela M5x1,2 galv.;351956
03-1000286;2,00;Scheibe M6 vz;Disc M6 galvanised;Arandela M6 vz;351957
03-1000287;2,00;Scheibe M6 vz ID6.4 x  AD18.0, s=1.6mm;Disc M6 galvanised ID6.4 x AD18.0, s=1.6mm;Arandela M6 vz ID6.4 x� AD18.0, s=1.6mm;351958
03-1000289;2,00;Federring M6 vz;Lock washer M6 galvanised;Arandela el�stica M6 galv.;351959
